jour,hospitalises,reanimation,deces,hosp_mm7,rea_mm7
2020-03-18,2972,771,218,2972.0,771.0
2020-03-19,4073,1002,327,3522.0,886.0
2020-03-20,5226,1297,450,4090.0,1023.0
2020-03-21,5900,1453,525,4543.0,1131.0
2020-03-22,6954,1674,632,5025.0,1239.0
2020-03-23,8673,2080,860,5633.0,1380.0
2020-03-24,10163,2503,1100,6280.0,1540.0
2020-03-25,12072,2935,1388,7580.0,1849.0
2020-03-26,13879,3351,1696,8981.0,2185.0
2020-03-27,15701,3758,1995,10477.0,2536.0
2020-03-28,17580,4236,2314,12146.0,2934.0
2020-03-29,19311,4592,2606,13911.0,3351.0
2020-03-30,20946,5056,3024,15665.0,3776.0
2020-03-31,22672,5496,3523,17452.0,4203.0
2020-04-01,24543,5940,4032,19233.0,4633.0
2020-04-02,26131,6305,4503,20983.0,5055.0
2020-04-03,27302,6556,5091,22641.0,5454.0
2020-04-04,28003,6723,5532,24130.0,5810.0
2020-04-05,28747,6859,5889,25478.0,6134.0
2020-04-06,29569,6948,6494,26710.0,6404.0
2020-04-07,29871,7004,7091,27738.0,6619.0
2020-04-08,30217,7019,7632,28549.0,6773.0
2020-04-09,30608,6937,8044,29188.0,6864.0
2020-04-10,31108,6875,8598,29732.0,6909.0
2020-04-11,31159,6752,8943,30183.0,6913.0
2020-04-12,31665,6714,9253,30600.0,6893.0
2020-04-13,31952,6690,9588,30940.0,6856.0
2020-04-14,32131,6599,10129,31263.0,6798.0
2020-04-15,31623,6331,10643,31464.0,6700.0
2020-04-16,31172,6139,11053,31544.0,6586.0
2020-04-17,31061,5922,11470,31538.0,6450.0
2020-04-18,30515,5733,11834,31446.0,6304.0
2020-04-19,30486,5644,12061,31277.0,6151.0
2020-04-20,30462,5584,12505,31064.0,5993.0
2020-04-21,29984,5334,12892,30758.0,5812.0
2020-04-22,29627,5127,13225,30472.0,5640.0
2020-04-23,29113,4967,13536,30178.0,5473.0
2020-04-24,28554,4785,13841,29820.0,5311.0
2020-04-25,28119,4641,14039,29478.0,5155.0
2020-04-26,28114,4598,14191,29139.0,5005.0
2020-04-27,27954,4526,14486,28781.0,4854.0
2020-04-28,27607,4392,14676,28441.0,4719.0
2020-04-29,26736,4128,15041,28028.0,4577.0
2020-04-30,26192,3947,15231,27611.0,4431.0
2020-05-01,25809,3819,15350,27219.0,4293.0
2020-05-02,25751,3770,15468,26880.0,4169.0
2020-05-03,25739,3762,15564,26541.0,4049.0
2020-05-04,25472,3639,15807,26187.0,3922.0
2020-05-05,24701,3375,16041,25771.0,3777.0
2020-05-06,23912,3095,16218,25368.0,3630.0
2020-05-07,23139,2911,16367,24932.0,3482.0
2020-05-08,22657,2820,16478,24482.0,3339.0
2020-05-09,22547,2764,16554,24024.0,3195.0
2020-05-10,22502,2728,16623,23561.0,3047.0
2020-05-11,22219,2666,16801,23097.0,2908.0
2020-05-12,21530,2496,16984,22644.0,2783.0
2020-05-13,21009,2385,17082,22229.0,2681.0
2020-05-14,20401,2256,17205,21838.0,2588.0
2020-05-15,19801,2162,17323,21430.0,2494.0
2020-05-16,19372,2091,17393,20976.0,2398.0
2020-05-17,19302,2047,17447,20519.0,2300.0
2020-05-18,18956,1958,17570,20053.0,2199.0
2020-05-19,18409,1854,17695,19607.0,2108.0
2020-05-20,17882,1754,17793,19160.0,2017.0
2020-05-21,17527,1708,17851,18750.0,1939.0
2020-05-22,17327,1664,17925,18396.0,1868.0
2020-05-23,17122,1628,17968,18075.0,1802.0
2020-05-24,17129,1618,18003,17765.0,1741.0
2020-05-25,16742,1572,18093,17448.0,1685.0
2020-05-26,16209,1519,18175,17134.0,1638.0
2020-05-27,15627,1467,18240,16812.0,1597.0
2020-05-28,15155,1395,18306,16473.0,1552.0
2020-05-29,14643,1328,18367,16090.0,1504.0
2020-05-30,14329,1293,18424,15691.0,1456.0
2020-05-31,14271,1287,18455,15282.0,1409.0
2020-06-01,14237,1270,18486,14924.0,1366.0
2020-06-02,13978,1221,18570,14606.0,1323.0
2020-06-03,13465,1179,18651,14297.0,1282.0
2020-06-04,13054,1133,18695,13997.0,1244.0
2020-06-05,12650,1065,18741,13712.0,1207.0
2020-06-06,12433,1030,18772,13441.0,1169.0
2020-06-07,12415,1024,18785,13176.0,1132.0
2020-06-08,12269,995,18839,12895.0,1092.0
2020-06-09,11915,926,18892,12600.0,1050.0
2020-06-10,11632,904,18915,12338.0,1011.0
2020-06-11,11420,875,18942,12105.0,974.0
2020-06-12,11079,851,18970,11880.0,944.0
2020-06-13,10864,843,18994,11656.0,917.0
2020-06-14,10836,841,19003,11431.0,891.0
2020-06-15,10707,818,19032,11208.0,865.0
2020-06-16,10490,792,19070,11004.0,846.0
2020-06-17,10222,744,19098,10803.0,823.0
2020-06-18,10080,724,19126,10611.0,802.0
2020-06-19,9925,699,19140,10446.0,780.0
2020-06-20,9792,687,19156,10293.0,758.0
2020-06-21,9778,687,19163,10142.0,736.0
2020-06-22,9648,673,19186,9991.0,715.0
2020-06-23,9446,654,19212,9842.0,695.0
2020-06-24,9254,630,19223,9703.0,679.0
2020-06-25,9096,623,19244,9563.0,665.0
2020-06-26,8841,606,19270,9408.0,651.0
2020-06-27,8715,594,19285,9254.0,638.0
2020-06-28,8727,594,19287,9104.0,625.0
2020-06-29,8643,591,19305,8960.0,613.0
