jour,doses_jour,complet_jour,cum_dose1,cum_complet,cum_rappel,couv_dose1_pct,couv_complet_pct,couv_rappel_pct
2020-12-27,160,5,160,5,0,0.0,0.0,0.0
2020-12-28,285,8,445,13,0,0.0,0.0,0.0
2020-12-29,195,2,640,15,0,0.0,0.0,0.0
2020-12-30,249,5,889,20,0,0.0,0.0,0.0
2020-12-31,262,7,1151,27,0,0.0,0.0,0.0
2021-01-01,752,23,1903,50,0,0.0,0.0,0.0
2021-01-02,180,9,2083,59,0,0.0,0.0,0.0
2021-01-03,207,5,2290,64,0,0.0,0.0,0.0
2021-01-04,1740,15,4030,79,0,0.0,0.0,0.0
2021-01-05,7060,92,11090,171,0,0.0,0.0,0.0
2021-01-06,11884,85,22974,256,0,0.0,0.0,0.0
2021-01-07,28914,130,51888,386,0,0.1,0.0,0.0
2021-01-08,36468,182,88356,568,0,0.1,0.0,0.0
2021-01-09,11002,59,99358,627,0,0.1,0.0,0.0
2021-01-10,5826,21,105184,648,0,0.2,0.0,0.0
2021-01-11,39335,200,144519,848,0,0.2,0.0,0.0
2021-01-12,60713,267,205232,1115,0,0.3,0.0,0.0
2021-01-13,63900,377,269132,1492,0,0.4,0.0,0.0
2021-01-14,80477,913,349609,2405,0,0.5,0.0,0.0
2021-01-15,67948,496,417557,2901,0,0.6,0.0,0.0
2021-01-16,19793,161,437350,3062,0,0.6,0.0,0.0
2021-01-17,10646,97,447996,3159,0,0.7,0.0,0.0
2021-01-18,84690,549,532686,3708,0,0.8,0.0,0.0
2021-01-19,128687,777,661373,4485,0,1.0,0.0,0.0
2021-01-20,135637,750,797010,5235,0,1.2,0.0,0.0
2021-01-21,156402,847,953412,6082,0,1.4,0.0,0.0
2021-01-22,119677,746,1073089,6828,0,1.6,0.0,0.0
2021-01-23,37932,184,1111021,7012,0,1.6,0.0,0.0
2021-01-24,9466,155,1120487,7167,0,1.6,0.0,0.0
2021-01-25,77342,1744,1197829,8911,0,1.8,0.0,0.0
2021-01-26,99125,4064,1296954,12975,0,1.9,0.0,0.0
2021-01-27,105986,7040,1402940,20015,0,2.1,0.0,0.0
2021-01-28,123181,17001,1526121,37016,0,2.2,0.1,0.0
2021-01-29,91188,19012,1617309,56028,0,2.4,0.1,0.0
2021-01-30,28733,4612,1646042,60640,0,2.4,0.1,0.0
2021-01-31,4996,1903,1651038,62543,0,2.4,0.1,0.0
2021-02-01,52347,23200,1703385,85743,0,2.5,0.1,0.0
2021-02-02,71226,38039,1774611,123782,0,2.6,0.2,0.0
2021-02-03,71313,40168,1845924,163950,0,2.7,0.2,0.0
2021-02-04,81088,55176,1927012,219126,0,2.8,0.3,0.0
2021-02-05,67475,48237,1994487,267363,0,2.9,0.4,0.0
2021-02-06,21805,11498,2016292,278861,0,3.0,0.4,0.0
2021-02-07,4919,6154,2021211,285015,0,3.0,0.4,0.0
2021-02-08,46168,49013,2067379,334028,0,3.0,0.5,0.0
2021-02-09,65163,78688,2132542,412716,0,3.1,0.6,0.0
2021-02-10,69845,83889,2202387,496605,0,3.2,0.7,0.0
2021-02-11,86198,106714,2288585,603319,0,3.4,0.9,0.0
2021-02-12,78302,77114,2366887,680433,0,3.5,1.0,0.0
2021-02-13,21912,19766,2388799,700199,0,3.5,1.0,0.0
2021-02-14,4725,7344,2393524,707543,0,3.5,1.0,0.0
2021-02-15,37400,77386,2430924,784929,0,3.6,1.2,0.0
2021-02-16,49548,100250,2480472,885179,0,3.6,1.3,0.0
2021-02-17,49720,107689,2530192,992868,0,3.7,1.5,0.0
2021-02-18,68670,125109,2598862,1117977,0,3.8,1.6,0.0
2021-02-19,64212,93699,2663074,1211676,0,3.9,1.8,0.0
2021-02-20,18156,28767,2681230,1240443,0,3.9,1.8,0.0
2021-02-21,2990,6065,2684220,1246508,0,3.9,1.8,0.0
2021-02-22,36807,73816,2721027,1320324,0,4.0,1.9,0.0
2021-02-23,52918,86222,2773945,1406546,0,4.1,2.1,0.0
2021-02-24,58723,84012,2832668,1490558,0,4.2,2.2,0.0
2021-02-25,99240,93686,2931908,1584244,0,4.3,2.3,0.0
2021-02-26,112196,73448,3044104,1657692,0,4.5,2.4,0.0
2021-02-27,51391,23556,3095495,1681248,0,4.6,2.5,0.0
2021-02-28,5812,4217,3101307,1685465,0,4.6,2.5,0.0
2021-03-01,64480,55572,3165787,1741037,0,4.7,2.6,0.0
2021-03-02,99879,69768,3265666,1810805,0,4.8,2.7,0.0
2021-03-03,114675,68644,3380341,1879449,0,5.0,2.8,0.0
2021-03-04,161503,77755,3541844,1957204,0,5.2,2.9,0.0
2021-03-05,198887,68978,3740731,2026182,0,5.5,3.0,0.0
2021-03-06,205609,22606,3946340,2048788,0,5.8,3.0,0.0
2021-03-07,119622,7161,4065962,2055949,0,6.0,3.0,0.0
2021-03-08,105477,52654,4171439,2108603,0,6.1,3.1,0.0
2021-03-09,170443,61041,4341882,2169644,0,6.4,3.2,0.0
2021-03-10,176867,62264,4518749,2231908,0,6.6,3.3,0.0
2021-03-11,240402,71635,4759151,2303543,0,7.0,3.4,0.0
2021-03-12,292257,62378,5051408,2365921,0,7.4,3.5,0.0
2021-03-13,229150,21042,5280558,2386963,0,7.8,3.5,0.0
2021-03-14,62418,4982,5342976,2391945,0,7.9,3.5,0.0
2021-03-15,156496,35824,5499472,2427769,0,8.1,3.6,0.0
2021-03-16,139646,42596,5639118,2470365,0,8.3,3.6,0.0
2021-03-17,148433,41860,5787551,2512225,0,8.5,3.7,0.0
2021-03-18,165592,49366,5953143,2561591,0,8.8,3.8,0.0
2021-03-19,227169,43682,6180312,2605273,0,9.1,3.8,0.0
2021-03-20,164919,15807,6345231,2621080,0,9.3,3.9,0.0
2021-03-21,48947,3788,6394178,2624868,0,9.4,3.9,0.0
2021-03-22,167700,38704,6561878,2663572,0,9.6,3.9,0.0
2021-03-23,247277,49710,6809155,2713282,0,10.0,4.0,0.0
2021-03-24,253979,51190,7063134,2764472,0,10.4,4.1,0.0
2021-03-25,338409,55762,7401543,2820234,0,10.9,4.1,0.0
2021-03-26,355436,53086,7756979,2873320,0,11.4,4.2,0.0
2021-03-27,193436,23210,7950415,2896530,0,11.7,4.3,0.0
2021-03-28,58391,6539,8008806,2903069,0,11.8,4.3,0.0
2021-03-29,200589,59698,8209395,2962767,0,12.1,4.4,0.0
2021-03-30,282483,79898,8491878,3042665,0,12.5,4.5,0.0
2021-03-31,259891,84150,8751769,3126815,0,12.9,4.6,0.0
2021-04-01,311704,105668,9063473,3232483,0,13.3,4.8,0.0
2021-04-02,278234,105931,9341707,3338414,0,13.7,4.9,0.0
2021-04-03,139404,67522,9481111,3405936,0,13.9,5.0,0.0
2021-04-04,45536,20892,9526647,3426828,0,14.0,5.0,0.0
2021-04-05,61489,12839,9588136,3439667,0,14.1,5.1,0.0
2021-04-06,214084,121394,9802220,3561061,0,14.4,5.2,0.0
2021-04-07,256765,125797,10058985,3686858,0,14.8,5.4,0.0
2021-04-08,333452,137895,10392437,3824753,0,15.3,5.6,0.0
2021-04-09,404992,133374,10797429,3958127,0,15.9,5.8,0.0
2021-04-10,210287,90730,11007716,4048857,0,16.2,6.0,0.0
2021-04-11,55016,36481,11062732,4085338,0,16.3,6.0,0.0
2021-04-12,234065,124679,11296797,4210017,0,16.6,6.2,0.0
2021-04-13,305760,156040,11602557,4366057,0,17.1,6.4,0.0
2021-04-14,290611,152223,11893168,4518280,0,17.5,6.6,0.0
2021-04-15,332941,165004,12226109,4683284,0,18.0,6.9,0.0
2021-04-16,335334,160731,12561443,4844015,0,18.5,7.1,0.0
2021-04-17,186251,97130,12747694,4941145,0,18.7,7.3,0.0
2021-04-18,50563,37643,12798257,4978788,0,18.8,7.3,0.0
2021-04-19,202444,146602,13000701,5125390,0,19.1,7.5,0.0
2021-04-20,250719,182607,13251420,5307997,0,19.5,7.8,0.0
2021-04-21,249172,181144,13500592,5489141,0,19.9,8.1,0.0
2021-04-22,283240,203758,13783832,5692899,0,20.3,8.4,0.0
2021-04-23,290686,199917,14074518,5892816,0,20.7,8.7,0.0
2021-04-24,188087,121848,14262605,6014664,0,21.0,8.8,0.0
2021-04-25,68460,42319,14331065,6056983,0,21.1,8.9,0.0
2021-04-26,217420,170841,14548485,6227824,0,21.4,9.2,0.0
2021-04-27,280850,209934,14829335,6437758,0,21.8,9.5,0.0
2021-04-28,295834,208394,15125169,6646152,1,22.2,9.8,0.0
2021-04-29,352822,231895,15477991,6878047,1,22.8,10.1,0.0
2021-04-30,367526,224042,15845517,7102089,1,23.3,10.4,0.0
2021-05-01,164331,63315,16009848,7165404,1,23.5,10.5,0.0
2021-05-02,90418,43246,16100266,7208650,1,23.7,10.6,0.0
